file,N_Models,Calls,CPU_Time,Time,Solving,First_Model,Unsat,Cars,Three_Cell_Car,Two_Cell_Car,Moves,Empty_Cells,Occupied_Cells,Choices,Conflicts,Restarts,Binary,Ternary,Heuristic 
"input_expert_84.asp",1,5,0.044,0.036,0,0,0,12,1,11,5,11,25,135,31,2809,73.5,19.5,0
"input_expert_85.asp",1,15,0.684,0.243,0.08,0.02,0.05,13,0,13,15,10,26,9917,3358,11,73.4,20,0
"input_expert_86.asp",1,6,0.051,0.043,0,0,0,11,1,10,6,13,23,112,51,11,72.8,20.7,0
"input_expert_87.asp",1,4,0.026,0.024,0,0,0,12,1,11,4,11,25,24,2,11,73.2,18.8,0
"input_expert_88.asp",1,47,6203.67,844.301,841.81,177.06,664.71,12,2,10,47,10,26,1.55371e+07,8.74271e+06,7065,72.2,20.9,0
"input_expert_89.asp",1,10,0.208,0.106,0.02,0.01,0.01,11,0,11,10,14,22,3207,931,1,73.1,20,0
"input_expert_90.asp",1,18,1.096,0.319,0.13,0.01,0.12,11,3,8,18,11,25,19457,6747,28,72.3,20.8,0
"input_expert_91.asp",1,41,88.15,12.401,11.21,1.67,9.54,14,2,12,41,6,30,509880,226446,561,71.5,22.4,0
"input_expert_92.asp",1,19,0.968,0.327,0.11,0.02,0.09,12,0,12,19,12,24,13134,4823,18,72.6,20.9,0
"input_expert_93.asp",1,19,4.731,0.904,0.6,0.02,0.59,11,2,9,19,12,24,48801,20266,85,71,22.6,0
"input_expert_94.asp",1,50,1507.58,197.499,194.9,23.9,170.98,13,2,11,50,8,28,4.50631e+06,2.25796e+06,3236,70.7,22.8,0
"input_expert_95.asp",1,3,0.018,0.017,0,0,0,10,2,8,3,14,22,0,0,3236,72,20.1,0
"input_expert_96.asp",1,47,2012.44,269.849,267.28,21.84,245.43,13,2,11,47,8,28,6.14608e+06,3.66782e+06,4766,68.4,25.2,0
"input_expert_97.asp",1,41,941.809,126.563,124.7,15.75,108.93,14,2,12,41,6,30,3.36616e+06,1.77374e+06,2686,69.6,24.2,0
"input_expert_98.asp",1,4,0.029,0.026,0,0,0,10,1,9,4,15,21,109,22,2686,72.8,19.8,0
"input_expert_99.asp",1,8,0.107,0.071,0.01,0,0.01,11,1,10,8,13,23,908,324,2686,73.8,19.1,0
"input_expert_100.asp",1,46,1826.75,251.898,249.55,24.13,225.4,12,3,9,46,9,27,6.44145e+06,3.53392e+06,4354,71.8,21.6,0
"input_expert_101.asp",1,12,0.488,0.173,0.05,0.02,0.03,12,1,11,12,11,25,6410,2292,7,73.3,20.1,0
"input_expert_102.asp",1,29,208.723,27.689,26.83,4.82,22,12,2,10,29,10,26,1.26421e+06,667612,1240,73,19.9,0
"input_expert_103.asp",1,11,0.265,0.121,0.03,0.01,0.01,12,1,11,11,11,25,3648,1113,2,74,18.8,0
"input_expert_104.asp",1,5,0.038,0.033,0,0,0,10,3,7,5,13,23,4,4,2,73.7,18.2,0
"input_expert_105.asp",1,19,8.758,1.459,1.16,0.39,0.77,12,2,10,19,10,26,85305,33129,120,72.9,20.1,0
"input_expert_106.asp",1,9,0.129,0.086,0.01,0,0.01,10,3,7,9,13,23,1130,306,120,73,20,0
"input_expert_107.asp",1,16,6.941,1.125,0.89,0.28,0.61,12,2,10,16,10,26,67409,32158,117,71.6,21.5,0
"input_expert_108.asp",1,8,0.125,0.079,0.01,0,0.01,11,1,10,8,13,23,1339,397,117,74.2,18.6,0
"input_expert_109.asp",1,10,0.287,0.118,0.03,0.01,0.02,12,1,11,10,11,25,4629,1668,5,72,21.4,0
"input_expert_110.asp",1,8,0.104,0.072,0.01,0,0,12,1,11,8,11,25,1006,208,5,71.9,21.3,0
